,stock_ticker_symbol,market_capital,trailing_pe,beta,return_on_equity,earnings_growth
419,MCK,66060058624,22.752123,0.441,N/A,-0.003
420,RTO.L,11856979968,29.506252,0.552,0.09661,0.06
421,VID.L,293870624,N/A,1.003,-0.052470002,N/A
422,5988.T,78536507392,21.009016,0.392,0.03852,-0.783
423,AL,4695654400,9.047211,1.603,0.07971,-0.263
424,QCOM,179097780224,20.558825,1.284,0.38924,0.174
425,BCPT.L,666472512,N/A,N/A,N/A,N/A
426,GWRE,13894046720,N/A,1.182,-0.0047999998,0.334
427,LEVI,7484981760,52.305553,1.136,0.07391,N/A
428,3451.T,51009650688,18.15614,0.503,N/A,0.063
429,NDAQ,41180119040,41.65698,0.962,0.11017,-0.296
430,8141.T,30192490496,12.408163,0.047,0.045029998,-0.704
431,QGEN,10198776832,131.11429,0.388,0.020680001,N/A
432,TM17.L,323894240,N/A,0.312,-0.015,N/A
433,8986.T,242133139456,20.668966,0.16,N/A,0.135
434,DWNI.DE,9268432896,N/A,0.761,-0.08315,N/A
435,GAW.L,3354513664,22.227076,1.245,0.62117,0.168
436,KRC,4094233600,20.559525,1.053,0.03929,-0.128
437,BIRK,8373416960,68.58462,N/A,0.04422,0.151
438,CRI,2507261952,10.75814,1.234,0.30037,0.194
439,PAG.L,1520557568,11.219697,1.52,0.14433,1.35
440,2715.T,71614906368,12.672996,0.588,0.08322,-0.064
441,TPR,9505824768,11.797143,1.552,0.31538,-0.284
442,FOSL,54196984,N/A,2.204,-0.5815,N/A
443,CCEP,37818986496,21.015463,0.755,0.19393,-0.07
444,RWI.L,504541952,14.0222225,1.235,0.1367,N/A
445,ILM1.DE,410641792,24.02985,1.076,0.0332,-0.481
446,ACLS,3182172928,13.438016,1.58,0.28523,-0.167
447,COMM,974527488,N/A,2.08,N/A,N/A
448,JAKK,260762528,8.825278,2.346,0.16068001,-0.19
449,HQI,196560000,33.428574,1.0,0.09151,0.007
450,CAR,2485431296,3.42457,2.129,N/A,-0.964
451,FRE.DE,18941661184,57.000004,1.07,0.0083099995,N/A
452,HAYW,3029002240,34.341465,1.21,0.0687,0.308
453,8968.T,113668800512,19.329218,0.679,0.05906,0.063
454,HOFT,169602624,113.07143,1.191,0.00721,N/A
455,3249.T,304853647360,17.323978,0.43,0.07618,0.194
456,6861.T,15611333705728,41.322422,0.703,0.13956,0.099
457,CNH,13189766144,6.831169,1.601,0.26511,-0.346
458,IPO.L,440636544,N/A,1.36,-0.13590999,N/A
459,CURY.L,877888000,38.725,1.314,0.01362,N/A
460,ANET,102027460608,42.17792,1.073,0.34463,0.342
461,7718.T,64361185280,19.94138,0.604,0.04397,N/A
462,BNR.DE,9379249152,15.805352,0.896,0.13941,-0.16
463,CCC.L,2660977408,13.930635,0.712,0.21895,0.055
464,LOPE,4022702592,18.554348,0.695,0.31231,0.24
465,STAG,7353530368,38.019234,1.091,0.05608,0.143
466,7282.T,311409147904,6.0716763,0.603,0.10637999,0.039
467,G,6906179072,10.949152,1.14,0.30339,0.063
468,8957.T,143218393088,16.520073,0.464,0.07047,N/A
469,8955.T,339539099648,22.831049,0.516,0.054369997,-0.07
470,VNO,6925660672,370.5555,1.626,-0.00112,-0.25
471,7944.T,104763940864,12.164591,0.228,0.20761,0.51
472,RXRX,1727296640,N/A,0.81,-0.71182996,N/A
473,CNXN,1833950720,20.820896,0.624,0.10628,0.32
474,MKTX,9732464640,37.146973,1.077,0.21017,0.082
475,CREI.L,361496992,N/A,N/A,N/A,N/A
476,WPC,13487541248,23.703848,0.957,0.06387,-0.031
477,AMD,223593005056,162.5294,1.693,0.024249999,8.553
478,ELS,14515226624,38.645832,0.8,0.24858999,0.243
479,AKR,2504045824,2234.0,1.488,-0.0141900005,-0.889
480,DOX,9820999680,19.632185,0.747,0.14219,-0.083
481,TGNA,2324319744,5.711382,0.498,0.15447,-0.477
482,SNPS,71301472256,47.851547,1.078,0.21819,0.204
483,VICI,35457175552,13.278432,0.959,0.10666,0.035
484,HWDN.L,5137385472,20.315218,1.066,0.27752,N/A
485,KNOS.L,1059598080,21.589745,0.791,0.34047002,0.344
486,9983.T,13526424879104,36.363636,0.687,0.19893,0.374
487,BBY,21159385088,16.941278,1.479,0.4241,0.072
488,MRL.L,392500064,N/A,0.438,-0.03111,N/A
489,MHK,9413283840,N/A,1.375,-0.04518,0.557
490,GPMT,131778656,N/A,1.803,-0.21066,N/A
491,FERG,37369716736,20.313662,1.209,0.36473998,0.337
492,STVG.L,118426360,17.333332,0.089,N/A,0.729
493,USFD,13961816064,27.185715,1.66,0.10858,0.096
494,RL,10758254592,16.781643,1.502,0.28403,0.332
495,INVP.L,3651616768,8.323529,1.093,0.12081,0.016
496,FRA.DE,4318369280,9.310758,1.756,0.11243,0.309
497,MOTR.L,130117016,N/A,0.995,-0.24,N/A
498,BMY.L,561921536,17.692308,0.662,0.16549,1.072
499,COLD,8383645696,N/A,0.612,-0.08038,N/A
500,ADBE,252684795904,51.340538,1.296,0.34223998,0.238
501,PARA,7365381632,N/A,1.77,-0.29097998,N/A
502,THRY,628041856,N/A,0.967,-0.92142,-0.651
503,ETWO,1342749184,N/A,0.341,N/A,N/A
504,8173.T,71062806528,15.190505,0.175,0.046490002,-0.236
505,GYC.DE,2173409024,N/A,0.789,-0.05846,N/A
506,TTEK,12202711040,42.212963,0.945,0.18655,0.42
507,CENT,2263961088,17.414747,0.694,0.09625,-0.048
508,LOVE,325471968,23.516855,2.905,0.07611,N/A
509,PK,2941551104,9.915493,2.023,0.0813,N/A
510,AAT,1966390016,28.662922,1.319,0.05904,-0.009
511,6645.T,1161977659392,N/A,0.972,-0.01495,N/A
512,DECK,22719363072,28.565178,1.054,0.41874,0.876
513,ITI,303874304,236.66667,0.862,0.020550001,-0.817
514,6866.T,110298841088,20.242916,0.561,0.14789,-0.22
515,7433.T,89120055296,13.234308,0.441,0.10402001,254.713
516,KBH,6019312128,10.587302,1.807,0.15656,0.109
517,MSFT,3015732887552,34.353935,0.896,0.37133,0.097
518,8818.T,75594072064,21.175987,0.293,0.04815,-0.168
519,CPT,12936957952,33.238354,0.916,0.08158,-0.528
520,EXR,38538907648,47.743168,0.871,0.08825,-0.414
521,PLCE,61761852,N/A,2.158,-3.5946,N/A
522,JBHT,17515247616,29.610344,1.153,0.15131,-0.271
523,7752.T,892075835392,21.141546,0.613,0.040900003,-0.098
524,NTAP,23468132352,22.470589,1.219,1.2042199,0.696
525,ABM,3135797504,20.636362,1.139,0.08438,-0.952
526,AMS.L,504028000,33.571426,0.741,0.06609,-0.347
527,CNXC,4656651264,16.732393,0.671,0.0767,-0.348
528,FGP.L,956030336,N/A,1.587,-0.0053100004,-0.459
529,7309.T,2339002908672,43.10345,0.369,0.064380005,-0.33
530,8014.T,85998133248,7.4323316,0.467,0.14499,0.873
531,HL.L,5248896000,17.854837,0.658,0.38458002,-0.054
532,FBRT,1057230656,15.566265,1.32,0.056020003,N/A
533,7593.T,58453626880,8.505018,0.714,0.09995,0.015
534,HELE,1255415808,8.6661415,0.849,0.099350005,-0.723
535,FIS,44949184512,81.57426,1.086,0.03136,N/A
536,ABG,4459758080,11.341971,1.161,0.12501,-0.851
537,PRU.L,16728636416,25.566666,1.201,0.054819997,-0.873
538,VFC,6841837056,N/A,1.548,-0.57025003,N/A
539,SITC,2981665024,6.661971,1.66,0.21096,110.0
540,MSCI,43885694976,37.34716,1.111,N/A,0.091
541,FIGS,919226816,59.777775,1.418,0.050580002,-0.677
542,KLIC,2111145216,N/A,1.39,-0.05391,2.143
543,LULU,30520520704,19.240326,1.253,0.43159,0.175
544,VOD.L,20065722368,19.145,0.54,0.025020001,N/A
545,CABO,1890033664,7.9274096,0.839,0.13387,-0.128
546,8953.T,700642426880,21.88184,0.763,0.05128,0.003
547,SRE.L,1478992384,14.042858,1.183,0.08282,6.153
548,8154.T,138954539008,7.4276886,0.633,0.12641,-0.3
549,ANSS,27063631872,54.62081,1.114,0.094289996,0.85
550,CTEC.L,4778988544,38.933334,0.645,0.0934,0.408
551,7780.T,99125346304,22.77952,0.343,0.05889,0.115
552,ORA,4353227776,33.03211,0.53,0.056649998,-0.08
553,NTGR,456278112,N/A,0.823,-0.28035998,N/A
554,SUI,18150160384,269.23077,0.924,0.011419999,N/A
555,SIG,3380711424,6.151786,2.099,0.32939,N/A
556,HSIC,8728913920,25.420664,0.861,0.07253,-0.245
557,CRUS,7189681664,25.020445,0.967,0.17181998,1.714
558,COLM,4803606016,22.053764,0.917,0.12297,N/A
559,8130.T,166895108096,12.90015,0.391,0.12882,-0.358
560,ALFA.L,652447232,31.571428,0.081,0.50922,-0.101
561,6430.T,49743785984,5.8754716,0.021,0.22728,0.153
562,ORCL,385517256704,37.60484,1.0,1.9392301,-0.063
563,OMC,19349686272,13.679115,0.964,0.35424,-0.093
564,CIEN,7433658368,54.75532,0.937,0.047319997,-0.504
565,8897.T,68243116032,6.2399406,N/A,0.12827,N/A
566,KTB,4014909952,17.044916,1.224,0.69402003,0.438
567,HLN.L,35809964032,32.75,0.188,0.06822,0.032
568,3471.T,262048006144,30.533161,0.397,0.04107,-0.005
569,SMP,690687360,11.781481,0.513,0.09354,0.855
570,DJCO,649843904,14.458473,0.915,0.19572,33.498
571,ALGM,4077129728,58.342106,1.676,0.0696,N/A
572,CTRE,4613933056,50.71187,1.127,0.05375,N/A
573,9332.T,24638527488,13.003631,1.005,0.14736,0.679
574,4849.T,101590761472,21.505747,N/A,0.16266,1.087
575,CRM,234946560000,42.890053,1.297,0.09734,0.148
576,MCO,87810007040,47.60612,1.29,0.5131,0.473
577,4902.T,211498074112,31.440298,1.213,0.0116,N/A
578,3132.T,338373115904,8.012216,0.717,0.1774,-0.403
579,HUBS,25392494592,N/A,1.634,-0.02704,N/A
580,3493.T,82411683840,26.128643,0.399,0.04423,N/A
581,VEEV,36044890112,59.199467,0.811,0.13179,0.529
582,TPT.L,92432544,Infinity,1.452,0.05456,N/A
583,7483.T,73846767616,13.074226,0.497,0.07036,-0.039
584,AMCR,16043275264,21.764708,0.861,0.18400998,0.443
585,FCPT,2744406016,27.905663,1.117,0.07743,-0.005
586,RRTL.DE,4479810048,11.177607,0.835,0.1095,0.76
587,HTG.DE,244637408,N/A,1.057,-0.08493,N/A
588,FNKO,538857600,N/A,1.193,-0.18645,N/A
589,GBF.DE,1713032576,8.074205,1.322,0.19356,N/A
590,8150.T,24235952128,7.8491817,0.462,0.08325,1.909
591,TRNO,6616318464,37.933334,0.912,0.05243,-0.231
592,SAFE,1760183040,N/A,0.879,-0.00898,0.2
593,RITM,5671096320,9.7310915,1.786,0.093059994,-0.419
594,MUV2.DE,64512446464,10.899435,0.848,0.20419,0.438
595,8876.T,285836705792,N/A,0.601,-0.11075,5.009
596,RESI.L,100358352,N/A,N/A,N/A,N/A
597,9602.T,1007502622720,20.661129,0.356,0.113299996,0.336
598,GCI,643536000,N/A,2.484,-0.33501998,N/A
599,HWG.L,544294784,14.0,0.736,0.0612,N/A
600,BYIT.L,1100643328,24.052633,0.649,0.67010003,0.112
601,GLPI,14298515456,18.031141,1.001,0.18599,0.295
602,DAN,1455569024,N/A,2.282,-0.0016500001,-0.471
603,APD,60874022912,23.810436,0.828,0.16211,0.172
604,RDUS,411900256,N/A,1.521,-0.34813,N/A
605,ARLO,1099300352,N/A,1.765,-0.239,N/A
606,SIX2.DE,2668641280,11.72179,1.957,0.13122,-0.5
607,ZM,20495667200,23.782143,-0.051,0.112749994,0.173
608,OMF,5265133056,9.045267,1.548,0.18805,-0.306
609,OI,1892333568,N/A,1.176,-0.14308,-0.478
610,8283.T,280048009216,13.220027,-0.156,N/A,N/A
611,BVB.DE,403427936,12.603449,1.298,0.102,N/A
612,GEN,15831302144,26.791666,1.06,0.28326,N/A
613,ARI,1411139456,204.0,1.808,0.01134,N/A
614,8972.T,633108889600,13.263121,0.604,0.09007,N/A
615,8951.T,1144766332928,26.455027,0.395,0.055,N/A
616,CWH,980655296,N/A,2.492,-0.21849,-0.663
617,PEB,1509915136,N/A,1.839,-0.0321,-0.356
618,4307.T,2998858678272,35.71331,0.455,0.21219999,0.321
619,SVC,766407104,N/A,2.195,-0.1701,N/A
620,HAG.DE,N/A,N/A,N/A,N/A,N/A
621,NOEJ.DE,457544064,18.649351,1.556,0.03513,-0.391
622,COP.DE,735606144,22.64516,0.878,0.05057,-0.551
623,4194.T,363146674176,27.191319,0.733,0.32301,0.338
624,RF,20636067840,12.668539,1.188,0.103360005,N/A
625,HRB,8774879232,15.183576,0.678,9.75009,-0.076
626,MAT,6451301888,21.088888,0.798,0.16375,1.167
627,LASR,504357312,N/A,2.348,-0.20049,N/A
628,6703.T,85150482432,3.025733,0.361,0.2297,N/A
629,DT,15163364352,97.88462,1.055,0.08221,-0.001
630,7947.T,231676264448,21.399776,0.027,0.07697,-0.345
631,3002.T,93407436800,18.44593,0.275,0.04355,0.031
632,FR,7675501056,26.49765,1.09,0.11151,-0.055
633,2760.T,105899810816,10.2655945,0.547,0.24034001,0.135
634,NOW,176127131648,154.7161,0.987,0.147,-0.752
635,XPER,378823904,N/A,N/A,-0.28397,N/A
636,V,555762778112,30.612003,0.963,0.48548,0.202
637,DIS,160212533248,33.846745,1.398,0.0546,N/A
638,7250.T,79530614784,4.654874,0.589,0.10853,0.083
639,7990.T,42073448448,7.5337396,1.108,0.06932,-0.531
640,CRST.L,504950400,N/A,1.995,-0.03167,N/A
641,3738.T,211558940672,24.301102,0.282,0.10899,1.51
642,SCHL,857016000,75.799995,1.03,0.011089999,-0.455
643,AGS,454288160,102.63636,2.364,0.07176,-0.5
644,3487.T,93338992640,20.90812,0.398,N/A,-0.02
645,7552.T,89990258688,12.28779,0.191,0.15343,0.638
646,ZAL.DE,5741331968,38.000004,1.638,0.064229995,0.693
647,9882.T,112293642240,11.153458,0.171,0.08953,-0.066
648,MFA,1255620864,19.52381,2.205,0.05145,N/A
649,INTC,81543315456,79.458336,1.02,0.00782,N/A
650,HOLI,1643316096,21.83471,0.479,0.061389998,-0.681
651,ADP,112384221184,30.251373,0.802,0.9314,0.072
652,MET,52860534784,20.51087,1.029,0.10122,1.667
653,HIG,34256269312,12.306316,0.924,0.19529,0.41
654,CIM,1232119808,8.84393,1.797,0.08383001,0.8
655,ZTS,86863470592,37.520546,0.883,0.48888,-0.055
656,CALX,2262879232,1146.3334,1.744,0.0033399998,N/A
657,8111.T,364883509248,14.847226,0.457,0.27607,0.096
658,VPG,317454880,15.451613,1.168,0.06521,-0.433
659,ADSK,55099183104,52.39139,1.476,0.57445997,0.262
660,7220.T,126977548288,13.966722,1.4,0.073979996,0.649
661,JUP.L,428395264,N/A,1.416,-0.01076,0.152
662,TT,77923852288,33.753666,1.212,0.3575,0.297
663,4298.T,56833527808,10.79902,0.781,0.11343,-0.119
664,VSCO,1813153920,13.194285,2.23,0.36020002,N/A
665,MIR,2240990464,N/A,0.791,-0.042129997,N/A
666,FND,11406430208,54.86598,1.798,0.10876001,-0.212
667,WY,22015825920,29.676472,1.418,0.07381,-0.235
668,KW,1486797824,N/A,1.128,-0.15883,N/A
669,7741.T,6709524824064,35.33575,0.666,0.20426,0.246
670,CTSH,37734440960,17.341686,1.05,0.16379999,0.251
671,SHO,1998861696,11.987804,1.249,0.08519,-0.42
672,HABA.DE,530358304,59.272728,0.667,0.02182,N/A
673,3281.T,648459452416,24.085735,0.4,0.05594,-0.084
674,SFQ.DE,743558400,7.9317074,1.976,0.20268999,0.359
675,CSR,1195414784,N/A,0.915,-0.00756,N/A
676,ANF,6806747136,14.1314945,1.506,0.50931,1.273
677,ADC,7707192832,42.64246,0.62,0.03701,0.244
678,9832.T,115614539776,20.135777,0.323,0.045500003,-0.457
679,R,5794321920,12.338248,1.269,0.16059999,N/A
680,AEO,3649216000,15.2,1.477,0.14731,0.568
681,TLX.DE,19599581184,10.585774,0.824,0.17497998,0.258
682,6856.T,359030358016,10.537462,0.918,0.12072,0.131
683,8961.T,229263998976,15.927702,0.485,0.073460005,N/A
684,ZUMZ,447143104,N/A,1.25,-0.15129,0.012
685,AXL,687848832,585.0,1.945,0.0035100002,1.204
686,VAR1.DE,63834624,N/A,1.462,-0.98946,N/A
687,6674.T,288319471616,7.2045746,N/A,0.124680005,N/A
688,AON,76141150208,28.219807,0.917,0.82436997,-0.092
689,SYY,38540161024,20.156813,1.198,0.99415,-0.144
690,WOSG.L,894075264,14.928,2.168,0.119119994,-0.787
691,DXC,3728364032,47.95349,1.68,0.020580001,-0.176
692,CASS,549540608,20.266333,0.718,0.12331,-0.385
693,CROX,7466488832,9.474755,1.996,0.57123,0.112
694,XHR,1425514368,60.500004,1.525,0.01756,0.245
695,CLDT,411552960,N/A,1.794,-0.00035999998,-0.323
696,6460.T,616156168192,15.360764,0.178,0.10920999,0.455
697,ARCB,2345407232,18.893333,1.464,0.10457,0.199
698,NOVA,1298585600,N/A,2.218,-0.19775999,N/A
699,TER,20266459136,40.855263,1.492,0.1919,0.562
700,ABDP.L,444169600,32.79661,0.722,0.112849995,1.857
701,OMI,1109414400,N/A,0.387,-0.048309997,N/A
702,2475.T,33641779200,9.478751,0.266,0.12718001,-0.118
703,SPTN,733618496,16.345863,0.405,0.05942,-0.393
704,FDM.L,438831232,14.357142,0.968,0.41507,-0.477
705,3076.T,113899520000,7.1633587,0.561,0.21381001,0.818
706,CNC,37263966208,13.340866,0.484,0.10585,0.125
707,WEYS,302942496,10.069401,0.695,0.12523,0.18
708,EBAY,29061269504,11.562257,1.312,0.50014,0.4
709,BERY,7604856320,14.457516,1.143,0.16395001,0.398
710,MRVL,59707166720,N/A,1.453,-0.06528,N/A
711,ROIC,1910535424,55.518517,1.466,0.02722,-0.27
712,MLAB,653372416,N/A,0.85,-0.92974997,N/A
713,AVY,17680384000,28.18742,0.895,0.29315,0.758
714,GSK.L,67853500416,14.721239,0.31,0.33299,-0.282
715,5970.T,69357027328,5.235602,0.892,0.0715,0.113
716,MMS,5199292928,18.113209,0.759,0.1701,1.92
717,SCI,11419468800,23.122807,0.845,0.32022998,-0.058
718,TDC,2629296128,42.750004,0.802,0.42321,1.258
719,TJX,132039737344,28.346247,0.889,0.66199,0.129
720,6857.T,4333001768960,56.181942,0.998,0.18312,1.592
721,ULTA,17977556992,15.311798,1.312,0.54978,-0.12
722,O,54742761472,58.2037,0.992,0.02417,N/A
723,BNL,3608946432,22.036146,1.125,0.05049,-0.418
724,OSIS,2300039936,18.808943,1.081,0.16124001,0.039
725,CPI.L,304901280,N/A,1.944,-0.20624,N/A
726,3591.T,241265819648,N/A,0.21,-0.03886,0.126
727,BR,24584751104,36.008545,1.059,0.31667998,0.002
728,CVLT,6245319168,36.822163,0.599,0.77036005,0.464
729,NFLX,289866612736,42.266582,1.262,0.31570998,0.483
730,BSY,14002002944,40.295654,1.035,0.46056998,0.457
731,8008.T,39801806848,30.079456,0.275,0.0347,0.045
732,MA,449990787072,37.210846,1.103,1.8770399,0.167
733,SEDG,1027951296,N/A,1.559,-0.2212,N/A
734,6758.T,15956719960064,16.260162,0.82,0.13113,0.078
735,5991.T,351339741184,7.746045,0.777,0.11898,1.197
736,SONO,1379513984,N/A,2.048,-0.0309,N/A
737,ETSY,6007266816,24.348835,1.974,N/A,-0.089
738,WOOF,778027200,N/A,1.886,-0.74355006,N/A
739,PVH,5323248640,7.624,2.114,0.14523,0.867
740,COO,21514821632,60.016666,0.981,0.0465,0.209
741,IDS.L,3263666688,56.833336,1.53,0.0147,N/A
742,WHR.L,378127200,11.125,N/A,N/A,N/A
743,7974.T,9037950222336,23.094585,0.273,0.15783,-0.553
744,AHT.L,22938374144,19.524164,1.221,0.22438999,-0.096
745,BYW6.DE,412337568,N/A,0.556,-0.12099,N/A
746,VRA,152451936,36.928574,1.892,0.01784,N/A
747,ICLR,24737318912,34.73256,1.226,0.07773,0.257
748,NXST,5250344448,12.77551,1.487,0.15693,0.341
749,NXT,4975780352,8.939154,N/A,0.65813005,0.93
750,URI,46026616832,18.411112,1.681,0.32622,0.112
751,CPRT,47556763648,35.3,1.271,0.20129,-0.083
752,6737.T,91562754048,20.533407,N/A,0.03441,-0.579
753,CYBR,11214691328,N/A,1.12,-0.01676,N/A
754,DELL,74896949248,19.500921,0.959,N/A,0.857
755,ASO,3796680960,8.07362,1.341,0.27976,-0.151
756,VSTO,2193209088,N/A,0.81,-0.00548,-0.02
757,SHOO,3159552768,17.831966,1.092,0.21937999,0.065
758,BNZL.L,12258191360,25.158619,0.448,0.17857,-0.162
759,LCII,2835725312,23.34801,1.418,0.08767,0.832
760,GLOB,8500856832,51.58115,1.397,0.096140005,0.024
761,WCC,7519284736,11.894246,2.034,0.15032,0.255
762,8964.T,229113495552,18.863976,0.484,0.06791,N/A
763,DOCS.L,647238912,9.614286,0.106,0.17918,-0.386
764,8056.T,474231799808,18.88459,0.469,0.16618,0.121
765,7832.T,2132255965184,18.831858,N/A,0.1671,0.577
766,1435.T,13033208832,15.104166,1.184,0.09909,N/A
767,ABDN.L,2629040128,8.676471,1.249,0.0624,N/A
768,6417.T,460114558976,9.881253,N/A,N/A,0.172
769,S92.DE,628764032,3.7828813,1.364,0.25977,-0.698
770,SDR.L,5439225344,14.669564,1.17,0.0896,-0.059
771,DEA,1380283392,69.89474,0.699,0.01474,-0.2
772,DX,931606272,415.6667,1.319,0.0135699995,N/A
773,GT,2223405568,N/A,1.696,-0.070700005,N/A
774,3186.T,147381780480,12.437952,0.732,0.17325,-0.117
775,PATH,6703988224,N/A,0.87,-0.058920003,N/A
776,TW,24864712704,56.38614,1.016,0.083050005,0.31
777,NRR.L,247286944,79.200005,1.103,0.00811,N/A
778,NSSC,1296876160,26.246267,1.646,0.31228,0.287
779,6744.T,155217281024,17.793066,0.357,0.07463,N/A
780,2733.T,124044648448,11.665171,0.059,0.098450005,0.155
781,3226.T,325746393088,27.952993,0.265,0.076799996,0.063
782,4324.T,1147514388480,N/A,0.854,-0.014249999,-0.997
783,HVT,409856736,10.695279,1.371,0.12726,-0.614
784,GHC,3235356416,24.3168,1.115,0.03509,N/A
785,RGEN,8092379648,N/A,0.949,-0.00096000003,-0.83
786,WSR,658776128,41.903225,1.264,0.03782,-0.773
787,9104.T,1772186107904,6.3938823,1.285,0.12165,0.174
788,MMSI,5673000448,48.48756,0.872,0.094469994,0.743
789,ITRK.L,8112140288,26.5,0.633,0.2514,0.085
790,7419.T,175843360768,8.099632,0.533,0.12941,0.657
791,ESTC,7305169408,116.55737,0.944,0.104169995,N/A
792,6745.T,44849377280,7.2992406,0.265,0.12359,5.546
793,4062.T,597749530624,17.985674,N/A,0.069070004,0.134
794,LRN,3384370688,16.673773,0.266,0.19232,1.083
795,9474.T,45794979840,22.022589,0.522,0.06532,N/A
796,ODFL,40669282304,32.496574,0.992,0.32136002,0.113
797,VTU.L,229261040,9.928572,1.148,0.07402,-0.178
798,AZTA,2257455104,N/A,1.473,-0.066350006,N/A
799,DORM,3323208960,19.908424,0.823,0.14955,0.471
800,EPR,3608881920,19.45306,1.755,0.085209996,4.1
801,BURL,16738754560,39.657616,1.638,0.45173,1.447
802,1928.T,2493842718720,10.729721,0.622,0.12652999,0.453
803,PSDL.L,149678656,N/A,N/A,N/A,N/A
804,6471.T,354442018816,25.774046,0.409,0.02182,N/A
805,WBA,7691780096,N/A,0.683,-0.55966,1.915
806,THRL.L,534024032,9.566667,N/A,N/A,N/A
807,BOOT,4256791552,28.30629,2.114,0.16892,0.115
808,GWW,47465418752,26.633972,1.159,0.55533004,0.025
809,POWW,162697088,N/A,0.246,-0.059970003,N/A
810,3003.T,1117622239232,11.810137,0.397,0.122770004,0.278
811,2692.T,91853881344,13.568469,0.396,0.063379996,0.086
812,DE,105946128384,13.216042,0.929,0.35481,-0.383
813,GPK,8787337216,12.512821,0.839,0.27399,0.274
814,CPS,228436288,N/A,2.73,N/A,N/A
815,INVH,21863479296,45.75641,1.004,0.047020003,-0.459
816,BFAM,8062200320,79.37142,1.488,0.08357,0.914
817,7508.T,69412454400,13.406537,0.558,0.17211,-0.205
818,VVI,664565312,32.708332,2.046,0.15073,1.978
819,SIRI,10280461312,8.090909,1.089,N/A,N/A
820,RBBN,499147232,N/A,1.089,-0.12475,N/A
821,TTWO,27400241152,N/A,0.859,-0.50901,N/A
822,3668.T,72141692928,449.6,0.388,0.00213,N/A
823,GIII,1387876736,7.7512565,2.189,0.12794,0.514
824,GBG.L,788055232,N/A,0.303,-0.073649995,N/A
825,VOYA,6920955904,9.274045,1.026,0.15583,0.39
826,IQV,43910598656,31.241245,1.498,0.22837,0.239
827,DDOG,36311269376,229.14893,1.105,0.0804,N/A
828,CCO,757867840,N/A,3.081,N/A,N/A
829,MRVI,2237342208,N/A,0.01,-0.19385,N/A
830,CACI,10484523008,25.24597,0.928,0.124560006,0.276
831,WMG,14475836416,26.875002,1.37,1.25054,0.137
832,NG.L,50593185792,18.827272,0.254,0.07458,-0.824
833,AAN,317716544,N/A,1.424,-0.062230002,N/A
834,BATRK,2562872832,N/A,0.941,-0.16225,N/A
835,JCI,45825761280,28.823528,1.3,0.1042,-0.052
