,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro
0,"Kimball Electronics, Inc.",4.5,Negligible ESG Risk,Technology Hardware,NAS,KE,595865984.0,548196705.28
1,"Steelcase, Inc.",5.3,Negligible ESG Risk,Commercial Services,NYS,SCS,1588731392.0,1461632880.64
2,HNI Corp.,5.4,Negligible ESG Risk,Commercial Services,NYS,HNI,2324179456.0,2138245099.52
3,"Avnet, Inc.",5.6,Negligible ESG Risk,Technology Hardware,NAS,AVT,4910356480.0,4517527961.6
4,ACCO Brands Corp.,5.7,Negligible ESG Risk,Commercial Services,NYS,ACCO,478198464.0,439942586.88
5,"Keysight Technologies, Inc.",6.2,Negligible ESG Risk,Technology Hardware,NYS,KEYS,25412880384.0,23379849953.280003
6,"CBRE Group, Inc.",6.3,Negligible ESG Risk,Real Estate,NYS,CBRE,30044205056.0,27640668651.52
7,Brady Corp.,6.4,Negligible ESG Risk,Commercial Services,NYS,BRC,3316973824.0,3051615918.08
8,"Paramount Group, Inc.",6.4,Negligible ESG Risk,Real Estate,NYS,PGRE,1260408064.0,1159575418.88
9,"Benchmark Electronics, Inc.",7.1,Negligible ESG Risk,Technology Hardware,NYS,BHE,1508877184.0,1388167009.28
10,Plexus Corp.,7.2,Negligible ESG Risk,Technology Hardware,NAS,PLXS,3269281792.0,3007739248.6400003
11,"Hasbro, Inc.",7.3,Negligible ESG Risk,Consumer Durables,NAS,HAS,8446234624.0,7770535854.08
12,"Chegg, Inc.",7.4,Negligible ESG Risk,Consumer Services,NYS,CHGG,361848192.0,332900336.64
13,"Jones Lang LaSalle, Inc.",7.4,Negligible ESG Risk,Real Estate,NYS,JLL,10937013248.0,10062052188.16
14,Universal Display Corp.,7.4,Negligible ESG Risk,Technology Hardware,NAS,OLED,10669143040.0,9815611596.800001
15,CDW Corp.,7.5,Negligible ESG Risk,Technology Hardware,NAS,CDW,31849637888.0,29301666856.960003
16,Flex Ltd.,7.5,Negligible ESG Risk,Technology Hardware,NAS,FLEX,12374888448.0,11384897372.16
17,"Resideo Technologies, Inc.",7.5,Negligible ESG Risk,Retailing,NYS,REZI,3218721792.0,2961224048.6400003
18,Texas Pacific Land Corp.,7.6,Negligible ESG Risk,Oil & Gas Producers,NYS,TPL,18817611776.0,17312202833.920002
19,"Arrow Electronics, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NYS,ARW,6705903104.0,6169430855.68
20,Fabrinet,7.7,Negligible ESG Risk,Technology Hardware,NYS,FN,9135338496.0,8404511416.320001
21,"Novanta, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NAS,NOVT,6537356288.0,6014367784.96
22,"Rayonier, Inc.",7.7,Negligible ESG Risk,Real Estate,NYS,RYN,4468653056.0,4111160811.52
23,TD SYNNEX Corp.,7.8,Negligible ESG Risk,Technology Hardware,NYS,SNX,10059460608.0,9254703759.36
24,Cimpress Plc,7.8,Negligible ESG Risk,Commercial Services,NAS,CMPR,2445576960.0,2249930803.2000003
25,"TTM Technologies, Inc.",7.9,Negligible ESG Risk,Technology Hardware,NAS,TTMI,2189201664.0,2014065530.88
26,"Pitney Bowes, Inc.",7.9,Negligible ESG Risk,Commercial Services,NYS,PBI,1266435072.0,1165120266.24
27,ASGN Incorporated,8.0,Negligible ESG Risk,Commercial Services,NYS,ASGN,4752027136.0,4371864965.12
28,"Anywhere Real Estate, Inc.",8.0,Negligible ESG Risk,Real Estate,NYS,HOUS,514425408.0,473271375.36
29,"Valvoline, Inc.",8.0,Negligible ESG Risk,Retailing,NYS,VVV,6074224640.0,5588286668.8
30,"AvalonBay Communities, Inc.",8.1,Negligible ESG Risk,Real Estate,NYS,AVB,29576110080.0,27210021273.600002
31,"Starwood Property Trust, Inc.",8.2,Negligible ESG Risk,Real Estate,NYS,STWD,6635771904.0,6104910151.68
32,Korn Ferry,8.3,Negligible ESG Risk,Commercial Services,NYS,KFY,3712043264.0,3415079802.88
33,"Methode Electronics, Inc.",8.3,Negligible ESG Risk,Technology Hardware,NYS,MEI,492068896.0,452703384.32
34,"Royal Gold, Inc.",8.5,Negligible ESG Risk,Precious Metals,NAS,RGLD,9175026688.0,8441024552.96
35,"Kforce, Inc.",8.6,Negligible ESG Risk,Commercial Services,NYS,KFRC,1313108736.0,1208060037.1200001
36,Sanmina Corp.,8.6,Negligible ESG Risk,Technology Hardware,NAS,SANM,4024267776.0,3702326353.92
37,"YETI Holdings, Inc.",8.6,Negligible ESG Risk,Consumer Durables,NYS,YETI,3395049472.0,3123445514.2400002
38,Accenture Plc,8.6,Negligible ESG Risk,Software & Services,NYS,ACN,203950637056.0,187634586091.52002
39,"Hudson Pacific Properties, Inc.",8.6,Negligible ESG Risk,Real Estate,NYS,HPP,1576596096.0,1450468408.3200002
40,AGNC Investment Corp.,8.7,Negligible ESG Risk,Real Estate,NAS,AGNC,7545523200.0,6941881344.0
41,CTS Corp.,8.7,Negligible ESG Risk,Technology Hardware,NYS,CTS,1640370048.0,1509140444.16
42,"Interpublic Group of Cos., Inc.",8.7,Negligible ESG Risk,Media,NYS,IPG,11398205440.0,10486349004.800001
43,"Badger Meter, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NYS,BMI,5786443776.0,5323528273.92
44,"ScanSource, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NAS,SCSC,1169486464.0,1075927546.88
45,"ManpowerGroup, Inc.",8.8,Negligible ESG Risk,Commercial Services,NYS,MAN,3539107840.0,3255979212.8
46,"Piedmont Office Realty Trust, Inc.",8.9,Negligible ESG Risk,Real Estate,NYS,PDM,1038206592.0,955150064.64
47,"Kelly Services, Inc.",9.0,Negligible ESG Risk,Commercial Services,NAS,KELYA,798385984.0,734515105.2800001
48,Sensata Technologies Holding Plc,9.1,Negligible ESG Risk,Technology Hardware,NYS,ST,6287323648.0,5784337756.16
49,"Crown Holdings, Inc.",9.1,Negligible ESG Risk,Containers & Packaging,NYS,CCK,9423876096.0,8669966008.32
50,Aptiv Plc,9.1,Negligible ESG Risk,Auto Components,NYS,APTV,19700011008.0,18124010127.36
51,"Itron, Inc.",9.2,Negligible ESG Risk,Technology Hardware,NAS,ITRI,4721796096.0,4344052408.320001
52,Western Digital Corp.,9.3,Negligible ESG Risk,Technology Hardware,NAS,WDC,23441229824.0,21565931438.08
53,"Ennis, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,EBF,614781440.0,565598924.8000001
54,"TriNet Group, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,TNET,5545837568.0,5102170562.56
55,"MillerKnoll, Inc.",9.4,Negligible ESG Risk,Commercial Services,NAS,MLKN,2106897152.0,1938345379.8400002
56,"Jabil, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NYS,JBL,13037099008.0,11994131087.36
57,LXP Industrial Trust,9.5,Negligible ESG Risk,Real Estate,NYS,LXP,2989778176.0,2750595921.92
58,"Trimble, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NAS,TRMB,14200695808.0,13064640143.36
59,"Annaly Capital Management, Inc.",9.6,Negligible ESG Risk,Real Estate,NYS,NLY,10218984448.0,9401465692.16
60,"RE/MAX Holdings, Inc.",9.7,Negligible ESG Risk,Real Estate,NYS,RMAX,310041376.0,285238065.92
61,SBA Communications Corp.,9.7,Negligible ESG Risk,Real Estate,NAS,SBAC,23016439808.0,21175124623.36
62,Kite Realty Group Trust,9.8,Negligible ESG Risk,Real Estate,NYS,KRG,5307057152.0,4882492579.84
63,"AptarGroup, Inc.",9.8,Negligible ESG Risk,Containers & Packaging,NYS,ATR,9598945280.0,8831029657.6
64,Elme Communities,9.8,Negligible ESG Risk,Real Estate,NYS,ELME,1436226816.0,1321328670.72
65,"Empire State Realty Trust, Inc.",9.9,Negligible ESG Risk,Real Estate,NYS,ESRT,3041242624.0,2797943214.08
66,Cognex Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,CGNX,8880074752.0,8169668771.84
67,Zebra Technologies Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,ZBRA,16757068800.0,15416503296.0
68,Deluxe Corp.,10.0,Low ESG Risk,Commercial Services,NYS,DLX,1062825088.0,977799080.96
69,"BorgWarner, Inc.",10.0,Negligible ESG Risk,Auto Components,NYS,BWA,7787503104.0,7164502855.68
70,"Elevance Health, Inc.",10.0,Negligible ESG Risk,Healthcare,NYS,ELV,121073508352.0,111387627683.84001
71,The New York Times Co.,10.0,Negligible ESG Risk,Media,NYS,NYT,8756133888.0,8055643176.96
72,News Corp.,10.0,Negligible ESG Risk,Media,NAS,NWSA,16082940928.0,14796305653.76
73,"MKS Instruments, Inc.",10.1,Low ESG Risk,Technology Hardware,NAS,MKSI,8908924928.0,8196210933.76
74,"Marcus & Millichap, Inc.",10.1,Low ESG Risk,Real Estate,NYS,MMI,1461554688.0,1344630312.96
75,Sleep Number Corp.,10.2,Low ESG Risk,Consumer Durables,NAS,SNBR,243805376.0,224300945.92000002
76,"Ingersoll Rand, Inc.",10.2,Low ESG Risk,Machinery,NYS,IR,39565279232.0,36400056893.44
77,"Lithia Motors, Inc.",10.2,Low ESG Risk,Retailing,NYS,LAD,7383037440.0,6792394444.8
78,"Heidrick & Struggles International, Inc.",10.3,Low ESG Risk,Commercial Services,NAS,HSII,702217984.0,646040545.28
79,"Cousins Properties, Inc.",10.3,Low ESG Risk,Real Estate,NYS,CUZ,3791778048.0,3488435804.1600003
80,Linde Plc,10.3,Low ESG Risk,Chemicals,NAS,LIN,215980900352.0,198702428323.84
81,"NL Industries, Inc.",10.3,Low ESG Risk,Commercial Services,NYS,NL,325719456.0,299661899.52000004
82,Ball Corp.,10.3,Low ESG Risk,Containers & Packaging,NYS,BALL,19218604032.0,17681115709.440002
83,Danaher Corp.,10.4,Low ESG Risk,Pharmaceuticals,NYS,DHR,186097598464.0,171209790586.88
84,Kimco Realty Corp.,10.4,Low ESG Risk,Real Estate,NYS,KIM,14540681216.0,13377426718.720001
85,Macerich Co.,10.5,Low ESG Risk,Real Estate,NYS,MAC,3617888000.0,3328456960.0
86,"Smith & Wesson Brands, Inc.",10.5,Low ESG Risk,Consumer Durables,NAS,SWBI,708905856.0,652193387.52
87,"Cannae Holdings, Inc.",10.5,Low ESG Risk,Diversified Financials,NYS,CNNE,1211507328.0,1114586741.76
88,"Prologis, Inc.",10.6,Low ESG Risk,Real Estate,NYS,PLD,114073231360.0,104947372851.2
89,"Rexford Industrial Realty, Inc.",10.7,Low ESG Risk,Real Estate,NYS,REXR,11097714688.0,10209897512.960001
90,IPG Photonics Corp.,10.7,Low ESG Risk,Technology Hardware,NAS,IPGP,4121643520.0,3791912038.4
91,"Robert Half, Inc.",10.7,Low ESG Risk,Commercial Services,NYS,RHI,7072484352.0,6506685603.84
92,COPT Defense Properties,10.7,Low ESG Risk,Real Estate,NYS,CDP,3063115776.0,2818066513.92
93,"Advance Auto Parts, Inc.",10.7,Low ESG Risk,Retailing,NYS,AAP,3842061056.0,3534696171.52
94,Acushnet Holdings Corp.,10.7,Low ESG Risk,Consumer Durables,NYS,GOLF,4280534016.0,3938091294.7200003
95,"Adtalem Global Education, Inc.",10.9,Low ESG Risk,Consumer Services,NYS,ATGE,2934435072.0,2699680266.2400002
96,Pool Corp.,10.9,Low ESG Risk,Retailing,NAS,POOL,12894957568.0,11863360962.560001
97,"AutoZone, Inc.",11.0,Low ESG Risk,Retailing,NYS,AZO,50976956416.0,46898799902.72
98,Zurn Elkay Water Solutions Corp.,11.0,Low ESG Risk,Building Products,NYS,ZWS,5431320576.0,4996814929.92
99,"Garrett Motion, Inc.",11.0,Low ESG Risk,Auto Components,NAS,GTX,2201142528.0,2025051125.76
100,LKQ Corp.,11.0,Low ESG Risk,Retailing,NAS,LKQ,12279699456.0,11297323499.52
101,"HP, Inc.",11.0,Low ESG Risk,Technology Hardware,NYS,HPQ,37292920832.0,34309487165.440002
102,"The AZEK Co., Inc.",11.1,Low ESG Risk,Consumer Durables,NYS,AZEK,6420298240.0,5906674380.8
103,"Veris Residential, Inc.",11.1,Low ESG Risk,Real Estate,NYS,VRE,1605078400.0,1476672128.0
104,"Insight Enterprises, Inc.",11.1,Low ESG Risk,Technology Hardware,NAS,NSIT,7186367488.0,6611458088.96
105,"CarMax, Inc.",11.1,Low ESG Risk,Retailing,NYS,KMX,12938949632.0,11903833661.44
106,"Cadence Design Systems, Inc.",11.2,Low ESG Risk,Software & Services,NAS,CDNS,78490517504.0,72211276103.68001
107,"Cardinal Health, Inc.",11.2,Low ESG Risk,Healthcare,NYS,CAH,23375126528.0,21505116405.760002
108,Vontier Corp.,11.2,Low ESG Risk,Technology Hardware,NYS,VNT,6313415680.0,5808342425.6
109,"Ventas, Inc.",11.2,Low ESG Risk,Real Estate,NYS,VTR,21627076608.0,19896910479.36
110,"Quad/Graphics, Inc.",11.3,Low ESG Risk,Commercial Services,NYS,QUAD,323574976.0,297688977.92
111,"Cencora, Inc.",11.3,Low ESG Risk,Healthcare,NYS,COR,44340531200.0,40793288704.0
112,Regency Centers Corp.,11.3,Low ESG Risk,Real Estate,NAS,REG,12334930944.0,11348136468.48
113,STAAR Surgical Co.,11.3,Low ESG Risk,Healthcare,NAS,STAA,2173068544.0,1999223060.48
114,"Johnson Outdoors, Inc.",11.3,Low ESG Risk,Consumer Durables,NAS,JOUT,399072384.0,367146593.28000003
115,"Williams-Sonoma, Inc.",11.3,Low ESG Risk,Retailing,NYS,WSM,19302688768.0,17758473666.56
116,"Agilent Technologies, Inc.",11.4,Low ESG Risk,Pharmaceuticals,NYS,A,38950092800.0,35834085376.0
117,Equity Residential,11.4,Low ESG Risk,Real Estate,NYS,EQR,26402977792.0,24290739568.64
118,"Principal Financial Group, Inc.",11.4,Low ESG Risk,Insurance,NAS,PFG,20499224576.0,18859286609.920002
119,"S&P Global, Inc.",11.5,Low ESG Risk,Diversified Financials,NYS,SPGI,153280315392.0,141017890160.64
120,Hewlett Packard Enterprise Co.,11.5,Low ESG Risk,Technology Hardware,NYS,HPE,27046131712.0,24882441175.04
121,"La-Z-Boy, Inc.",11.6,Low ESG Risk,Consumer Durables,NYS,LZB,1789150464.0,1646018426.88
122,Seagate Technology Holdings Plc,11.6,Low ESG Risk,Technology Hardware,NAS,STX,22029946880.0,20267551129.600002
123,"Essex Property Trust, Inc.",11.6,Low ESG Risk,Real Estate,NYS,ESS,18875555840.0,17365511372.8
124,"Applied Materials, Inc.",11.6,Low ESG Risk,Semiconductors,NAS,AMAT,182212460544.0,167635463700.48
125,American Homes 4 Rent,11.6,Low ESG Risk,Real Estate,NYS,AMH,15166651392.0,13953319280.640001
126,Lear Corp.,11.6,Low ESG Risk,Auto Components,NYS,LEA,7038847488.0,6475739688.96
127,"Anika Therapeutics, Inc.",11.7,Low ESG Risk,Healthcare,NAS,ANIK,419387744.0,385836724.48
128,Park Aerospace Corp.,11.7,Low ESG Risk,Technology Hardware,NYS,PKE,288408416.0,265335742.72
129,"Highwoods Properties, Inc.",11.7,Low ESG Risk,Real Estate,NYS,HIW,3100574464.0,2852528506.88
130,"Mid-America Apartment Communities, Inc.",11.7,Low ESG Risk,Real Estate,NYS,MAA,17307684864.0,15923070074.880001
131,Redfin Corporation,11.7,Low ESG Risk,Real Estate,NAS,RDFN,1009529920.0,928767526.4000001
132,Richardson Electronics Ltd.,11.7,Low ESG Risk,Technology Hardware,NAS,RELL,177766080.0,163544793.6
133,Public Storage,11.7,Low ESG Risk,Real Estate,NYS,PSA,54471233536.0,50113534853.12
134,Atlantica Sustainable Infrastructure Plc,11.8,Low ESG Risk,Utilities,NAS,AY,2558982912.0,2354264279.04
135,"O'Reilly Automotive, Inc.",11.8,Low ESG Risk,Retailing,NAS,ORLY,61463650304.0,56546558279.68
136,"Lowe's Companies, Inc.",11.8,Low ESG Risk,Retailing,NYS,LOW,138492690432.0,127413275197.44
137,"Barrett Business Services, Inc.",11.9,Low ESG Risk,Commercial Services,NAS,BBSI,899322688.0,827376872.96
138,"Dolby Laboratories, Inc.",11.9,Low ESG Risk,Media,NYS,DLB,7788542464.0,7165459066.88
139,"Opendoor Technologies, Inc.",11.9,Low ESG Risk,Real Estate,NAS,OPEN,1881086720.0,1730599782.4
140,"Crown Castle, Inc.",12.0,Low ESG Risk,Real Estate,NYS,CCI,45898665984.0,42226772705.28
141,"Autoliv, Inc.",12.0,Low ESG Risk,Auto Components,NYS,ALV,8688658432.0,7993565757.440001
142,"Lumentum Holdings, Inc.",12.0,Low ESG Risk,Technology Hardware,NAS,LITE,3880915968.0,3570442690.56
143,Ardagh Metal Packaging SA,12.0,Low ESG Risk,Containers & Packaging,NYS,AMBP,2151543552.0,1979420067.8400002
144,"Boston Properties, Inc.",12.0,Low ESG Risk,Real Estate,NYS,BXP,12079675392.0,11113301360.640001
145,"ExlService Holdings, Inc.",12.0,Low ESG Risk,Software & Services,NAS,EXLS,5594364416.0,5146815262.72
146,Brandywine Realty Trust,12.0,Low ESG Risk,Real Estate,NYS,BDN,824189248.0,758254108.1600001
147,Meritage Homes Corp.,12.1,Low ESG Risk,Homebuilders,NYS,MTH,6901336576.0,6349229649.92
148,"Dentsply Sirona, Inc.",12.1,Low ESG Risk,Healthcare,NAS,XRAY,5718158336.0,5260705669.12
149,"Foot Locker, Inc.",12.1,Low ESG Risk,Retailing,NYS,FL,2505291264.0,2304867962.88
150,Haemonetics Corp.,12.1,Low ESG Risk,Healthcare,NYS,HAE,4605650432.0,4237198397.44
151,"Brixmor Property Group, Inc.",12.1,Low ESG Risk,Real Estate,NYS,BRX,7384838656.0,6794051563.52
152,"Mettler-Toledo International, Inc.",12.1,Low ESG Risk,Pharmaceuticals,NYS,MTD,29435623424.0,27080773550.08
153,"Motorola Solutions, Inc.",12.2,Low ESG Risk,Technology Hardware,NYS,MSI,65665712128.0,60412455157.76
154,"Digital Realty Trust, Inc.",12.2,Low ESG Risk,Real Estate,NYS,DLR,51924844544.0,47770856980.48
155,Lam Research Corp.,12.2,Low ESG Risk,Semiconductors,NAS,LRCX,126515453952.0,116394217635.84001
156,Fox Corp.,12.2,Low ESG Risk,Media,NAS,FOXA,16876169216.0,15526075678.720001
157,"Leggett & Platt, Inc.",12.3,Low ESG Risk,Consumer Durables,NYS,LEG,1723702912.0,1585806679.04
158,"FARO Technologies, Inc.",12.3,Low ESG Risk,Technology Hardware,NAS,FARO,340328544.0,313102260.48
159,"Iron Mountain, Inc.",12.4,Low ESG Risk,Real Estate,NYS,IRM,29084655616.0,26757883166.72
160,"Insperity, Inc.",12.4,Low ESG Risk,Commercial Services,NYS,NSP,3826928384.0,3520774113.28
161,ReNew Energy Global Plc,12.4,Low ESG Risk,Utilities,NAS,RNW,2034771200.0,1871989504.0
162,Federal Realty Investment Trust,12.4,Low ESG Risk,Real Estate,NYS,FRT,9181691904.0,8447156551.68
163,Topgolf Callaway Brands Corp.,12.5,Low ESG Risk,Consumer Durables,NYS,MODG,2889391872.0,2658240522.2400002
164,"Simon Property Group, Inc.",12.5,Low ESG Risk,Real Estate,NYS,SPG,58054660096.0,53410287288.32
165,Marine Products Corp.,12.5,Low ESG Risk,Consumer Durables,NYS,MPX,362089472.0,333122314.24
166,InvenTrust Properties Corp.,12.6,Low ESG Risk,Real Estate,NYS,IVT,1810212864.0,1665395834.88
167,"Penske Automotive Group, Inc.",12.6,Low ESG Risk,Retailing,NYS,PAG,10766899200.0,9905547264.0
168,American Tower Corp.,12.6,Low ESG Risk,Real Estate,NYS,AMT,99521708032.0,91559971389.44
169,"Escalade, Inc.",12.6,Low ESG Risk,Consumer Durables,NAS,ESCA,204597216.0,188229438.72
170,International Game Technology PLC,12.6,Low ESG Risk,Consumer Services,NYS,IGT,4351261696.0,4003160760.32
171,"America's Car-Mart, Inc.",12.7,Low ESG Risk,Retailing,NAS,CRMT,437730304.0,402711879.68
172,Bicycle Therapeutics Plc,12.7,Low ESG Risk,Pharmaceuticals,NAS,BCYC,1609634432.0,1480863677.44
173,"Tempur Sealy International, Inc.",12.7,Low ESG Risk,Consumer Durables,NYS,TPX,9297617920.0,8553808486.400001
174,"Thermo Fisher Scientific, Inc.",12.7,Low ESG Risk,Pharmaceuticals,NYS,TMO,211875282944.0,194925260308.48
175,Waters Corp.,12.8,Low ESG Risk,Pharmaceuticals,NYS,WAT,18648928256.0,17157013995.52
176,"AutoNation, Inc.",12.8,Low ESG Risk,Retailing,NYS,AN,7207703552.0,6631087267.84
177,"Gentherm, Inc.",12.8,Low ESG Risk,Auto Components,NAS,THRM,1671483648.0,1537764956.16
178,Genuine Parts Co.,12.8,Low ESG Risk,Retailing,NYS,GPC,20067414016.0,18462020894.72
179,"Monro, Inc.",12.8,Low ESG Risk,Retailing,NAS,MNRO,755801920.0,695337766.4
180,"Udemy, Inc.",12.8,Low ESG Risk,Software & Services,NAS,UDMY,1330473728.0,1224035829.76
181,"The Home Depot, Inc.",12.8,Low ESG Risk,Retailing,NYS,HD,368771366912.0,339269657559.04004
182,"EastGroup Properties, Inc.",12.8,Low ESG Risk,Real Estate,NYS,EGP,8934619136.0,8219849605.12
183,"Newell Brands, Inc.",12.8,Low ESG Risk,Consumer Durables,NAS,NWL,2798184960.0,2574330163.2000003
184,"Cisco Systems, Inc.",12.9,Low ESG Risk,Technology Hardware,NAS,CSCO,195477864448.0,179839635292.16
185,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",12.9,Low ESG Risk,Real Estate,NYS,HASI,3730990592.0,3432511344.6400003
186,"Okta, Inc.",12.9,Low ESG Risk,Software & Services,NAS,OKTA,16181659648.0,14887126876.16
187,"Movado Group, Inc.",12.9,Low ESG Risk,Textiles & Apparel,NYS,MOV,577676928.0,531462773.76000005
